name,address,category,monthly_price,notes,lat,lng
Anytime Fitness,"5107 W 98th St, Bloomington, MN 55437",Full-Service,56,27.95 bi-weekly,44.82937896434076, -93.34943197902354
Anytime Fitness,"14233 Oconnell Ct, Savage, MN 55378",Full-Service,66,32.95 bi-weekly,44.755311175253446, -93.35011862452639
Anytime Fitness,"17811 Kenwood Trail, Lakeville, MN 55044",Full-Service,60,29.99 bi-weekly,44.70258197165968, -93.28044891532116
Anytime Fitness,"6520 150th St W Suite 100, Apple Valley, MN 55124",Full-Service,54,26.99 bi-weekly,44.74795241018289, -93.20285797349916
Anytime Fitness,"1981 Silver Bell Rd #1800, Eagan, MN 55122",Full-Service,60,29.99 bi-weekly,44.83128260840735, -93.2104110732314
Anytime Fitness,"1012 Diffley Rd, Eagan, MN 55123",Full-Service,46,23.00 bi-weekly,44.81228806629938, -93.13762664992935
Anytime Fitness,"4725 Hiawatha Ave, Minneapolis, MN 55406",Full-Service,58,28.99 bi-weekly,44.92664760455035, -93.21727752864206
Anytime Fitness,"897 St Paul Ave, St Paul, MN 55116",Full-Service,70,34.95 bi-weekly,44.92275824980962, -93.18088531699101
Anytime Fitness,"1059 Grand Ave, St Paul, MN 55105",Full-Service,60,29.99 bi-weekly,44.94754837479245, -93.14655304184855
Anytime Fitness,"756 N Plaza Dr, Mendota Heights, MN 55120",Full-Service,60,29.99 bi-weekly,44.893336478786345, -93.12149048073901
Anytime Fitness,"1201 S Robert St, West St Paul, MN 55118",Full-Service,60,29.99 bi-weekly,44.92008416600298, -93.08509826848756
Anytime Fitness,"226 Spring St, St Paul, MN 55102",Full-Service,66,32.95 bi-weekly,44.948277334435204, -93.1008911150531
Anytime Fitness,"1700 Suburban Ave, St Paul, MN 55106",Full-Service,60,29.99 bi-weekly,44.96091115834072, -93.03153991926528
Anytime Fitness,"7077 10th St N, Oakdale, MN 55128",Full-Service,60,29.99 bi-weekly,44.9681986377074, -92.96424865998604
Anytime Fitness,"2718 University Ave SE, Minneapolis, MN 55414",Full-Service,70,34.95 bi-weekly,44.98277082024138, -93.21968078778549
Anytime Fitness,"1139 Larpenteur Ave W, Roseville, MN 55113",Full-Service,60,29.99 bi-weekly,45.00073807763085, -93.14689636412601
Anytime Fitness,"2217 Central Ave NE, Minneapolis, MN 55418",Full-Service,66,32.99 bi-weekly,45.01869970307323, -93.25023651340919
Anytime Fitness,"2701 39th Ave NE, St Anthony, MN 55421",Full-Service,66,32.99 bi-weekly,45.045146432321665, -93.2236750921893
